MONTH,AVG_DELAY,MONTH_NAME
1,22.760210941001137,Jan
2,22.67220710450835,Feb
3,22.58821187612622,March
4,21.70823251911924,April
5,24.23471470801495,May
6,26.402135784762663,June
7,25.852072435355442,July
8,23.84883066101389,Aug
9,19.732671783686584,Sept
10,19.878110487857654,Oct
11,21.3268197985008,Nov
12,26.23612201876576,Dec
